,date,name,scaled,scaled_day_1,scaled_day_2,scaled_day_3,scaled_day_4,scaled_day_5,scaled_day_6,scaled_day_7,scaled_day_8,scaled_day_9,scaled_day_10,scaled_day_11,scaled_day_12,scaled_day_13,scaled_day_14
103,2015-01-18,netflix,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56,39.04,55.04
109,2015-01-19,netflix,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56,39.04
115,2015-01-20,netflix,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56,34.56
121,2015-01-21,netflix,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64,34.56
127,2015-01-22,netflix,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2,32.64
133,2015-01-23,netflix,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08,35.2
139,2015-01-24,netflix,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92,46.08
145,2015-01-25,netflix,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32,42.92
151,2015-01-26,netflix,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68,31.32
157,2015-01-27,netflix,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84,26.68
163,2015-01-28,netflix,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42,27.84
169,2015-01-29,netflix,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74,28.42
175,2015-01-30,netflix,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34,30.74
181,2015-01-31,netflix,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07,42.34
187,2015-02-01,netflix,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17,43.07
193,2015-02-02,netflix,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5,37.17
199,2015-02-03,netflix,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32,29.5
205,2015-02-04,netflix,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32,28.32
211,2015-02-05,netflix,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68,28.32
217,2015-02-06,netflix,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84,30.68
223,2015-02-07,netflix,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98,44.84
229,2015-02-08,netflix,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9,46.98
235,2015-02-09,netflix,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48,31.9
241,2015-02-10,netflix,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84,32.48
247,2015-02-11,netflix,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68,27.84
253,2015-02-12,netflix,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42,26.68
259,2015-02-13,netflix,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02,28.42
265,2015-02-14,netflix,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36,40.02
271,2015-02-15,netflix,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12,53.36
277,2015-02-16,netflix,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34,37.12
283,2015-02-17,netflix,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04,42.34
289,2015-02-18,netflix,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64,51.04
295,2015-02-19,netflix,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96,33.64
301,2015-02-20,netflix,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04,35.96
307,2015-02-21,netflix,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88,51.04
313,2015-02-22,netflix,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24,48.88
319,2015-02-23,netflix,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68,32.24
325,2015-02-24,netflix,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16,30.68
331,2015-02-25,netflix,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64,30.16
337,2015-02-26,netflix,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28,29.64
343,2015-02-27,netflix,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24,33.28
349,2015-02-28,netflix,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999,45.24
355,2015-03-01,netflix,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24,57.99999999999999
361,2015-03-02,netflix,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44,45.24
367,2015-03-03,netflix,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54,39.44
373,2015-03-04,netflix,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96,36.54
379,2015-03-05,netflix,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7,35.96
385,2015-03-06,netflix,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94,37.7
391,2015-03-07,netflix,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84,53.94
397,2015-03-08,netflix,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28,56.84
403,2015-03-09,netflix,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54,38.28
409,2015-03-10,netflix,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7,36.54
415,2015-03-11,netflix,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999,37.7
421,2015-03-12,netflix,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44,35.37999999999999
427,2015-03-13,netflix,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42,39.44
433,2015-03-14,netflix,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999,57.42
439,2015-03-15,netflix,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7,57.99999999999999
445,2015-03-16,netflix,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8,37.7
451,2015-03-17,netflix,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64,34.8
457,2015-03-18,netflix,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7,33.64
463,2015-03-19,netflix,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12,37.7
469,2015-03-20,netflix,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46,37.12
475,2015-03-21,netflix,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17,50.46
481,2015-03-22,netflix,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86,47.17
487,2015-03-23,netflix,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68,32.86
493,2015-03-24,netflix,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68,29.68
499,2015-03-25,netflix,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68,29.68
505,2015-03-26,netflix,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003,29.68
511,2015-03-27,netflix,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46,31.270000000000003
517,2015-03-28,netflix,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2,43.46
523,2015-03-29,netflix,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16,44.2
529,2015-03-30,netflix,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6,30.16
535,2015-03-31,netflix,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12,28.6
541,2015-04-01,netflix,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68,29.12
547,2015-04-02,netflix,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72,30.68
553,2015-04-03,netflix,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16,31.72
559,2015-04-04,netflix,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52,43.16
565,2015-04-05,netflix,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007,47.52
571,2015-04-06,netflix,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007,31.860000000000007
577,2015-04-07,netflix,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64,31.860000000000007
583,2015-04-08,netflix,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006,35.64
589,2015-04-09,netflix,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02,27.540000000000006
595,2015-04-10,netflix,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2,34.02
601,2015-04-11,netflix,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36,43.2
607,2015-04-12,netflix,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004,45.36
613,2015-04-13,netflix,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78,33.480000000000004
619,2015-04-14,netflix,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005,30.78
625,2015-04-15,netflix,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1,32.940000000000005
631,2015-04-16,netflix,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5,35.1
637,2015-04-17,netflix,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52,40.5
643,2015-04-18,netflix,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001,47.52
649,2015-04-19,netflix,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64,50.40000000000001
655,2015-04-20,netflix,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001,38.64
661,2015-04-21,netflix,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004,34.72000000000001
667,2015-04-22,netflix,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84,34.160000000000004
673,2015-04-23,netflix,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001,35.84
679,2015-04-24,netflix,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001,43.68000000000001
685,2015-04-25,netflix,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001,56.00000000000001
691,2015-04-26,netflix,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52,56.00000000000001
697,2015-04-27,netflix,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004,37.52
703,2015-04-28,netflix,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28,34.160000000000004
709,2015-04-29,netflix,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001,35.28
715,2015-04-30,netflix,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64,36.40000000000001
721,2015-05-01,netflix,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001,38.64
727,2015-05-02,netflix,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001,48.72000000000001
733,2015-05-03,netflix,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02,50.22000000000001
739,2015-05-04,netflix,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56,34.02
745,2015-05-05,netflix,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1,34.56
751,2015-05-06,netflix,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005,35.1
757,2015-05-07,netflix,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72,32.940000000000005
763,2015-05-08,netflix,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06,36.72
769,2015-05-09,netflix,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36,48.06
775,2015-05-10,netflix,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28,48.36
781,2015-05-11,netflix,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72,33.28
787,2015-05-12,netflix,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64,31.72
793,2015-05-13,netflix,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16,29.64
799,2015-05-14,netflix,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72,30.16
805,2015-05-15,netflix,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16,31.72
811,2015-05-16,netflix,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5,43.16
817,2015-05-17,netflix,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5,40.5
823,2015-05-18,netflix,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0,30.5
829,2015-05-19,netflix,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0,29.0
835,2015-05-20,netflix,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5,29.0
841,2015-05-21,netflix,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5,29.5
847,2015-05-22,netflix,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0,31.5
853,2015-05-23,netflix,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001,43.0
859,2015-05-24,netflix,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45,48.76000000000001
865,2015-05-25,netflix,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33,34.45
871,2015-05-26,netflix,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33,32.33
877,2015-05-27,netflix,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33,32.33
883,2015-05-28,netflix,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04,32.33
889,2015-05-29,netflix,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17,36.04
895,2015-05-30,netflix,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6,47.17
901,2015-05-31,netflix,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75,50.6
907,2015-06-01,netflix,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0,35.75
913,2015-06-02,netflix,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1,33.0
919,2015-06-03,netflix,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2,34.1
925,2015-06-04,netflix,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7,35.2
931,2015-06-05,netflix,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95,40.7
937,2015-06-06,netflix,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6,48.95
943,2015-06-07,netflix,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4,57.6
949,2015-06-08,netflix,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0,59.4
955,2015-06-09,netflix,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0,42.0
961,2015-06-10,netflix,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0,39.0
967,2015-06-11,netflix,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4,39.0
973,2015-06-12,netflix,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6,44.4
979,2015-06-13,netflix,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0,54.6
985,2015-06-14,netflix,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4,60.0
991,2015-06-15,netflix,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2,41.4
997,2015-06-16,netflix,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8,40.2
1003,2015-06-17,netflix,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6,37.8
1009,2015-06-18,netflix,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2,39.6
1015,2015-06-19,netflix,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6,40.2
1021,2015-06-20,netflix,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81,48.6
1027,2015-06-21,netflix,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84,54.81
1033,2015-06-22,netflix,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32,42.84
1039,2015-06-23,netflix,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95,40.32
1045,2015-06-24,netflix,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47,40.95
1051,2015-06-25,netflix,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66,43.47
1057,2015-06-26,netflix,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85,51.66
1063,2015-06-27,netflix,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52,59.85
1069,2015-06-28,netflix,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74,59.52
1075,2015-06-29,netflix,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02,47.74
1081,2015-06-30,netflix,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02,44.02
1087,2015-07-01,netflix,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88,44.02
1093,2015-07-02,netflix,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88,45.88
1099,2015-07-03,netflix,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94,45.88
1105,2015-07-04,netflix,57.6,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7,53.94
1111,2015-07-05,netflix,56.73,57.6,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36,56.7
1117,2015-07-06,netflix,47.58,56.73,57.6,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47,45.36
1123,2015-07-07,netflix,44.53,47.58,56.73,57.6,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36,43.47
1129,2015-07-08,netflix,43.92,44.53,47.58,56.73,57.6,53.12000000000001,48.0,46.72,44.8,46.72,64.0,56.07,45.99,45.99,45.36
