,date,name,score,score_day_1,score_day_2,score_day_3,score_day_4,score_day_5,score_day_6,score_day_7,score_day_8,score_day_9,score_day_10,score_day_11,score_day_12,score_day_13,score_day_14
44,2015-08-15,amazon,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147,0.536,0.6126482213438735,0.6331877729257642,0.7158671586715867,0.5384615384615384
45,2015-08-16,amazon,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147,0.536,0.6126482213438735,0.6331877729257642,0.7158671586715867
60,2015-10-04,amazon,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147,0.536,0.6126482213438735,0.6331877729257642
62,2015-10-05,amazon,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147,0.536,0.6126482213438735
63,2015-10-06,amazon,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147,0.536
64,2015-10-07,amazon,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439,0.6147186147186147
65,2015-10-08,amazon,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806,0.6505576208178439
66,2015-10-09,amazon,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289,0.6472663139329806
67,2015-10-10,amazon,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531,0.7137681159420289
68,2015-10-11,amazon,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0,0.5102040816326531
76,2015-10-18,amazon,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778,1.0
99,2015-11-15,amazon,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182,0.7777777777777778
102,2015-11-16,amazon,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727,0.8181818181818182
104,2015-11-17,amazon,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0,0.2727272727272727
106,2015-11-18,amazon,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453,1.0
108,2015-11-19,amazon,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419,0.45454545454545453
110,2015-11-20,amazon,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803,0.6335877862595419
112,2015-11-21,amazon,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538,0.654275092936803
114,2015-11-22,amazon,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711,0.6038461538461538
280,2016-07-03,amazon,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803,0.6069364161849711
282,2016-07-04,amazon,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445,0.7461706783369803
283,2016-07-05,amazon,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354,0.653179190751445
284,2016-07-06,amazon,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364,0.7168141592920354
285,2016-07-07,amazon,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364,0.6363636363636364
286,2016-07-08,amazon,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778,0.6363636363636364
287,2016-07-09,amazon,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8,0.7777777777777778
288,2016-07-10,amazon,0.7224334600760456,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666,0.8
289,2016-07-11,amazon,0.6196581196581197,0.7224334600760456,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0,0.6666666666666666
290,2016-07-12,amazon,0.5770020533880903,0.6196581196581197,0.7224334600760456,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8,1.0
291,2016-07-13,amazon,0.5834970530451866,0.5770020533880903,0.6196581196581197,0.7224334600760456,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727,0.8
292,2016-07-14,amazon,0.6025917926565875,0.5834970530451866,0.5770020533880903,0.6196581196581197,0.7224334600760456,0.7181467181467182,0.7103174603174603,0.6520210896309314,0.650375939849624,0.7633410672853829,0.7223264540337712,0.38461538461538464,0.6027164685908319,0.6580310880829016,0.2727272727272727
